image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_5585.JPG,IMG_5651.JPG,4000,4000,4000,228,138,0.6052631578947368,74.72654854436695,0.5275425762136134,0.271316314071175,0.14883482934456393,0.9855521427423791,"[[-5.029885081218262e-07, 5.336361454995118e-07, 0.0005806811337604475], [1.372018228313771e-06, 6.40381312763419e-07, -0.003641009388869376], [-0.0012999685949806742, 0.0018894188541792305, 1.0]]"
IMG_5585.JPG,IMG_5655.JPG,4000,4000,4000,215,130,0.6046511627906976,73.94266887980608,0.6774209370760297,0.40773865268388776,0.4043371748231914,0.9895707821714553,"[[-8.357582555805806e-07, 6.673056788986263e-07, 0.0012046270046961287], [1.7171411605178879e-06, 9.071083043920132e-07, -0.005171229192515809], [-0.0018519637518538492, 0.0028891889506690183, 1.0]]"
IMG_5585.JPG,IMG_5661.JPG,4000,4000,4000,823,556,0.675577156743621,14.407837050134038,0.5922461035028077,0.3810488906588764,0.3333309918352606,0.9989689127214867,"[[-7.501249129317779e-07, -4.812062610973217e-06, 0.011228269344418382], [3.1014433778793458e-06, 1.5380041229738705e-06, -0.008502201571046045], [-0.010096939052298427, 0.007908331038271668, 1.0]]"
IMG_5585.JPG,IMG_5665.JPG,4000,4000,4000,783,567,0.7241379310344828,9.396751660135555,0.5289143864237668,0.38945997949238575,0.36779624005977324,0.9980004962164774,"[[9.353392956874273e-06, -9.508049355432618e-06, 0.037062075319275696], [5.443095860902805e-06, -8.492158080691328e-06, 0.030314090847415178], [-0.04911648126081195, -0.016254228023023277, 1.0]]"
IMG_5585.JPG,IMG_5674.JPG,4000,4000,4000,687,455,0.6622998544395924,15.68699323132968,0.6088693032904837,0.39625241227429375,0.34599794819373686,0.9850493087606544,"[[2.9375570108396133e-08, -2.987862250304398e-06, 0.001738376460830523], [-1.3086309402547118e-07, 9.327685145665012e-07, -0.009151133788991288], [-1.05242987922981e-07, 0.008862889917778737, 0.9999999999999999]]"
IMG_5589.JPG,IMG_5598.JPG,4000,4000,4000,924,634,0.6861471861471862,5.070711402327779,0.5063136243682607,0.35857207472459335,0.30078730522053576,0.9997825148736739,"[[-2.1842082808483197e-07, -1.6600306767331492e-06, 0.001666070637050385], [1.416397863047448e-05, -1.3778724076846918e-06, -0.051360922095747996], [-0.0071738559952636395, 0.04881325995645099, 0.9999999999999999]]"
IMG_5589.JPG,IMG_5603.JPG,4000,4000,4000,481,313,0.6507276507276507,20.26595411504712,0.5461683116388905,0.3339859211253839,0.28153931031195234,0.9950469849870063,"[[-2.2915581323145334e-07, 2.1150933032110533e-06, -0.0005881799317789201], [6.2678441643906584e-06, -8.216222541632443e-07, -0.019823643312401912], [-0.003673528141113443, 0.01734447717309831, 1.0]]"
IMG_5589.JPG,IMG_5607.JPG,4000,4000,4000,268,185,0.6902985074626866,42.35446581514429,0.5124301519877509,0.34805597499804314,0.3155693781402931,0.9920244576834122,"[[8.982954702891179e-09, 1.8160350768656436e-06, -0.0009639274263702402], [2.0176509072408336e-06, -9.753856874540447e-08, -0.006813595439859468], [-0.001016340860982811, 0.004781365873400616, 1.0]]"
IMG_5589.JPG,IMG_5612.JPG,4000,4000,4000,249,148,0.5943775100401606,75.70450652697834,0.6773892833359894,0.36889358160406144,0.3557614298910134,0.9299072273066684,"[[3.942612326753338e-08, 1.4044560793498656e-06, -0.0008803411734517723], [1.4172530020658712e-06, -7.287269845448249e-08, -0.0037207147599722717], [-0.0008239512463615333, 0.002148227129223883, 1.0]]"
IMG_5589.JPG,IMG_5617.JPG,4000,4000,4000,217,133,0.6129032258064516,78.74371460417048,0.49438184625628107,0.2806759677587517,0.2222519866286323,0.9081907598747743,"[[7.141499596079579e-08, 1.1841750930196912e-06, -0.0007730597265990115], [1.219887851190367e-06, -2.261235444454154e-08, -0.0028541251928064456], [-0.0007380630943750309, 0.001435596549498048, 1.0]]"
IMG_5589.JPG,IMG_5620.JPG,4000,4000,4000,187,115,0.6149732620320856,88.78273095346705,0.5350022781619108,0.3055953333832278,0.2744089670006942,0.9966571754878335,"[[5.741302182098142e-08, 1.1989068403697575e-06, -0.0007686172587604882], [1.0809236135763897e-06, 2.0405064134886705e-08, -0.002465353656849558], [-0.0006710840460617986, 0.0009840257961156139, 1.0]]"
